company,industry,website,phone/email/contact_url,location,likely pain,call angle,fit score,notes
Parker & Sons,HVAC/plumbing/electrical,https://www.parkerandsons.com/,(602) 344-9027; https://www.parkerandsons.com/,Phoenix AZ,"High inbound call volume, dispatch triage, quote follow-up, reviews and maintenance reminders","Offer AI assessment for missed-call capture, lead qualification, appointment reminders and service-plan follow-up",8,"Regional home-services operator; broad trade mix means repeatable admin workflows; site researched; no outreach sent"
AZ Refrigeration Service,HVAC,https://azrs.com/,https://azrs.com/contact/; (602) 244-9900,Phoenix AZ,"After-hours AC emergencies, seasonal spikes, quote chasing, technician scheduling","Lead with summer surge playbook: AI receptionist plus estimate follow-up and no-show reduction",8,"Local HVAC provider with contact page; emergency/seasonal demand is strong fit; no outreach sent"
Day & Night Air Conditioning Heating & Plumbing,HVAC/plumbing,https://www.dayandnightair.com/,info@dayandnightair.com; (602) 492-9656,Phoenix AZ,"Multi-service booking, emergency calls, financing questions, recurring maintenance reminders","Pitch AI setup to capture web/phone leads and automate tune-up reminders and financing FAQ responses",8,"Phoenix home-services company; email/phone found on site scrape; no outreach sent"
Chas Roberts,HVAC/plumbing,https://www.chasroberts.com/,https://www.chasroberts.com/contact-us/; (602) 328-5000,Phoenix AZ,"Large volume service requests, install quote follow-up, warranty questions","Angle around AI triage for service vs install leads and automated post-visit follow-up",7,"Established regional contractor; contact page present; no outreach sent"
Wolfgangs Cooling Heating & Plumbing,HVAC/plumbing,https://wolfgangscooling.com/,https://wolfgangscooling.com/; (928) 764-8946,Phoenix AZ,"Appointment scheduling, abandoned quote requests, review generation","Offer a low-risk AI assessment of intake forms, missed calls and technician follow-up",7,"Home-services contractor; website researched; no outreach sent"
JP Plumbing,Plumbing,https://jpplumbingaz.com/,https://jpplumbingaz.com/contact/; (602) 299-8622,Phoenix AZ,"Urgent plumbing leads, drain/water-heater quote follow-up, dispatcher interruptions","Pitch AI front-desk assistant for after-hours requests and job qualification before dispatch",8,"Local plumbing company with contact page; urgent lead capture fit; no outreach sent"
Robins Plumbing,Plumbing,https://www.robinsplumbing.com/,https://robinsplumbing.com/contact-us/; (623) 486-4657,Phoenix AZ,"Emergency booking, repeat customer reminders, online quote handling","Lead with missed-call recovery and automated text/email follow-up for estimates",8,"Local plumber; phone/contact page found; no outreach sent"
Plumbing Masters,Plumbing,https://plumbingmastersaz.com/,https://plumbingmastersaz.com/contact-us/; (602) 842-1240,Phoenix AZ,"Inbound dispatch load, service-area questions, estimate follow-up","AI assessment framed as reducing admin time while improving speed-to-lead",8,"Phoenix plumbing service; contact page and phone found; no outreach sent"
Colorado Realty and Property Management,Property management,https://www.coloradorpm.com/,https://www.coloradorpm.com/contact-us/; (303) 665-7368,Denver CO,"Tenant maintenance intake, owner updates, leasing inquiries, renewal reminders","Pitch AI assistant for maintenance triage, owner FAQ and prospect nurturing",9,"Property management has chronic admin friction; contact page researched; no outreach sent"
Sheepdog Property Management,Property management,https://www.sheepdogpm.com/,learnmore@sheepdogpm.com; https://www.sheepdogpm.com/contact,Denver CO,"Tenant tickets, owner lead qualification, showing coordination","Offer AI setup for lead intake, rent-ready checklists, tenant maintenance routing",9,"Email/contact page found; strong fit for near-zero-human workflows; no outreach sent"
